Cement,Water,W/C,W/Binder,Sand,Gravel,Superplasticizer,Flyash,GGBS,Age,Strength
540,162,0.3,0.3,676,1040,2.5,0,0,28,79.99
540,162,0.3,0.3,676,1055,2.5,0,0,28,61.89
332.5,228,0.7,0.5,594,932,0,0,142.5,270,40.27
332.5,228,0.7,0.5,594,932,0,0,142.5,365,41.05
198.6,192,1,0.6,825.5,978.4,0,0,132.4,360,44.3
266,228,0.9,0.6,670,932,0,0,114,90,47.03
380,228,0.6,0.5,594,932,0,0,95,365,43.7
380,228,0.6,0.5,594,932,0,0,95,28,36.45
266,228,0.9,0.6,670,932,0,0,114,28,45.85
475,228,0.5,0.5,594,932,0,0,0,28,39.29
198.6,192,1,0.6,825.5,978.4,0,0,132.4,90,38.07
198.6,192,1,0.6,825.5,978.4,0,0,132.4,28,28.02
427.5,228,0.5,0.5,594,932,0,0,47.5,270,43.01
190,228,1.2,0.6,670,932,0,0,190,90,42.33
304,228,0.8,0.6,670,932,0,0,76,28,47.81
380,228,0.6,0.6,670,932,0,0,0,90,52.91
139.6,192,1.4,0.6,806.9,1047,0,0,209.4,90,39.36
342,228,0.7,0.6,670,932,0,0,38,365,56.14
380,228,0.6,0.5,594,932,0,0,95,90,40.56
475,228,0.5,0.5,594,932,0,0,0,180,42.62
427.5,228,0.5,0.5,594,932,0,0,47.5,180,41.84
139.6,192,1.4,0.6,806.9,1047,0,0,209.4,28,28.24
139.6,192,1.4,0.6,806.9,1047,0,0,209.4,3,8.06
139.6,192,1.4,0.6,806.9,1047,0,0,209.4,180,44.21
380,228,0.6,0.6,670,932,0,0,0,365,52.52
380,228,0.6,0.6,670,932,0,0,0,270,53.3
380,228,0.6,0.5,594,932,0,0,95,270,41.15
342,228,0.7,0.6,670,932,0,0,38,180,52.12
427.5,228,0.5,0.5,594,932,0,0,47.5,28,37.43
475,228,0.5,0.5,594,932,0,0,0,7,38.6
304,228,0.8,0.6,670,932,0,0,76,365,55.26
266,228,0.9,0.6,670,932,0,0,114,365,52.91
198.6,192,1,0.6,825.5,978.4,0,0,132.4,180,41.72
475,228,0.5,0.5,594,932,0,0,0,270,42.13
190,228,1.2,0.6,670,932,0,0,190,365,53.69
237.5,228,1,0.5,594,932,0,0,237.5,270,38.41
237.5,228,1,0.5,594,932,0,0,237.5,28,30.08
332.5,228,0.7,0.5,594,932,0,0,142.5,90,37.72
475,228,0.5,0.5,594,932,0,0,0,90,42.23
237.5,228,1,0.5,594,932,0,0,237.5,180,36.25
342,228,0.7,0.6,670,932,0,0,38,90,50.46
427.5,228,0.5,0.5,594,932,0,0,47.5,365,43.7
237.5,228,1,0.5,594,932,0,0,237.5,365,39
380,228,0.6,0.6,670,932,0,0,0,180,53.1
427.5,228,0.5,0.5,594,932,0,0,47.5,90,41.54
427.5,228,0.5,0.5,594,932,0,0,47.5,7,35.08
349,192,0.6,0.6,806.9,1047,0,0,0,3,15.05
380,228,0.6,0.5,594,932,0,0,95,180,40.76
237.5,228,1,0.5,594,932,0,0,237.5,7,26.26
380,228,0.6,0.5,594,932,0,0,95,7,32.82
332.5,228,0.7,0.5,594,932,0,0,142.5,180,39.78
190,228,1.2,0.6,670,932,0,0,190,180,46.93
237.5,228,1,0.5,594,932,0,0,237.5,90,33.12
304,228,0.8,0.6,670,932,0,0,76,90,49.19
139.6,192,1.4,0.6,806.9,1047,0,0,209.4,7,14.59
198.6,192,1,0.6,825.5,978.4,0,0,132.4,7,14.64
475,228,0.5,0.5,594,932,0,0,0,365,41.93
198.6,192,1,0.6,825.5,978.4,0,0,132.4,3,9.13
304,228,0.8,0.6,670,932,0,0,76,180,50.95
332.5,228,0.7,0.5,594,932,0,0,142.5,28,33.02
304,228,0.8,0.6,670,932,0,0,76,270,54.38
266,228,0.9,0.6,670,932,0,0,114,270,51.73
310,192,0.6,0.6,850.6,971,0,0,0,3,9.87
190,228,1.2,0.6,670,932,0,0,190,270,50.66
266,228,0.9,0.6,670,932,0,0,114,180,48.7
342,228,0.7,0.6,670,932,0,0,38,270,55.06
139.6,192,1.4,0.6,806.9,1047,0,0,209.4,360,44.7
332.5,228,0.7,0.5,594,932,0,0,142.5,7,30.28
190,228,1.2,0.6,670,932,0,0,190,28,40.86
485,146,0.3,0.3,800,1120,0,0,0,28,71.99
374,170.1,0.5,0.3,756.7,926.1,10.1,0,189.2,3,34.4
313.3,175.5,0.6,0.3,611.8,1046.9,8.6,0,262.2,3,28.8
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,3,33.4
425,151.4,0.4,0.3,803.7,936,18.6,0,106.3,3,36.3
375,126.6,0.3,0.3,992.6,852.1,23.4,0,93.8,3,29
475,181.1,0.4,0.3,781.5,852.1,8.9,0,118.8,3,37.8
469,137.8,0.3,0.2,840.5,852.1,32.2,0,117.2,3,40.2
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,3,33.4
388.6,157.9,0.4,0.3,925.7,852.1,12.1,0,97.1,3,28.1
531.3,141.8,0.3,0.3,893.7,852.1,28.2,0,0,3,41.3
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,3,33.4
318.8,155.7,0.5,0.3,880.4,852.1,14.3,0,212.5,3,25.2
401.8,147.4,0.4,0.3,852.1,946.8,11.4,0,94.7,3,41.1
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,3,35.3
323.7,183.8,0.6,0.3,659.9,942.7,10.3,0,282.8,3,28.3
379.5,153.9,0.4,0.3,605,1134.3,15.9,0,151.2,3,28.6
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,3,35.3
286.3,144.7,0.5,0.3,803.7,1004.6,11.2,0,200.9,3,24.4
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,3,35.3
439,186,0.4,0.3,707.9,884.9,11.1,0,177,3,39.3
389.9,145.9,0.4,0.3,755.8,944.7,22,0,189,3,40.6
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,3,35.3
337.9,174.9,0.5,0.3,755.8,944.7,9.5,0,189,3,24.1
374,170.1,0.5,0.3,756.7,926.1,10.1,0,189.2,7,46.2
313.3,175.5,0.6,0.3,611.8,1046.9,8.6,0,262.2,7,42.8
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,7,49.2
425,151.4,0.4,0.3,803.7,936,18.6,0,106.3,7,46.8
375,126.6,0.3,0.3,992.6,852.1,23.4,0,93.8,7,45.7
475,181.1,0.4,0.3,781.5,852.1,8.9,0,118.8,7,55.6
469,137.8,0.3,0.2,840.5,852.1,32.2,0,117.2,7,54.9
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,7,49.2
388.6,157.9,0.4,0.3,925.7,852.1,12.1,0,97.1,7,34.9
531.3,141.8,0.3,0.3,893.7,852.1,28.2,0,0,7,46.9
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,7,49.2
318.8,155.7,0.5,0.3,880.4,852.1,14.3,0,212.5,7,33.4
401.8,147.4,0.4,0.3,852.1,946.8,11.4,0,94.7,7,54.1
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,7,55.9
323.7,183.8,0.6,0.3,659.9,942.7,10.3,0,282.8,7,49.8
379.5,153.9,0.4,0.3,605,1134.3,15.9,0,151.2,7,47.1
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,7,55.9
286.3,144.7,0.5,0.3,803.7,1004.6,11.2,0,200.9,7,38
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,7,55.9
439,186,0.4,0.3,707.9,884.9,11.1,0,177,7,56.1
389.9,145.9,0.4,0.3,755.8,944.7,22,0,189,7,59.09
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,7,22.9
337.9,174.9,0.5,0.3,755.8,944.7,9.5,0,189,7,35.1
374,170.1,0.5,0.3,756.7,926.1,10.1,0,189.2,28,61.09
313.3,175.5,0.6,0.3,611.8,1046.9,8.6,0,262.2,28,59.8
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,28,60.29
425,151.4,0.4,0.3,803.7,936,18.6,0,106.3,28,61.8
375,126.6,0.3,0.3,992.6,852.1,23.4,0,93.8,28,56.7
475,181.1,0.4,0.3,781.5,852.1,8.9,0,118.8,28,68.3
